1 Fitness= 45840 Best= 43050
10001 Fitness= 47710 Best= 30660
20001 Fitness= 48760 Best= 30660
30001 Fitness= 49840 Best= 30660
40001 Fitness= 49660 Best= 30660
50001 Fitness= 52760 Best= 30120
60001 Fitness= 47980 Best= 30120
70001 Fitness= 45680 Best= 30120
80001 Fitness= 44130 Best= 30120
90001 Fitness= 50670 Best= 30120
100000 Fitness= 47010 Best= 30120


=== RESULTS (last random solution) ===

Over-allocated projects (violations) :
PRJ_ID	N_ALLOC	MAX
10025	2	1
9688	2	1
9689	3	1
9306	2	1
9789	2	1
9968	5	1
9245	4	2
9976	5	1
10328	2	1
9982	4	2
9989	3	1
10249	2	1
9993	2	1
9996	2	1
10607	2	1
9	4	9446	1	1
10	3	10041	1	1
11	1	10044	1	1
12	4	9992	4	1
13	4	9911	1	1
14	5	9787	3	2
15	3	10648	1	1
16	5	9968	3	1
17	5	9205	4	1
18	3	8825	1	1
19	1	9999	2	4
20	3	9105	5	1
21	1	10667	1	1
22	4	10001	1	3
23	5	10017	2	1
24	2	9999	2	4
25	5	10088	1	4
26	1	9246	5	2
27	1	10271	3	4
28	1	10016	1	1
29	1	10347	7	7
30	2	9689	4	1
31	2	9992	4	1
32	1	9992	4	1
33	4	10271	3	4
34	3	9245	7	2
35	4	9827	6	1
36	2	9225	1	2
37	5	9968	3	1
38	4	9265	3	4
39	2	9688	3	1
40	3	9245	7	2
41	1	9667	2	2
42	2	10107	3	4
43	1	10807	1	1
44	4	9405	1	1
45	1	9787	3	2
46	4	10527	2	1
47	3	9005	1	1
48	1	10064	2	2
49	2	9208	1	1
50	4	9624	1	2
51	3	10687	2	2
52	3	10271	3	4
53	2	9105	5	1
54	3	9982	2	2
55	5	10527	2	1
56	1	10127	1	4
57	4	9007	1	3
58	5	9205	4	1
59	2	9249	2	1
60	1	9992	4	1
61	2	9249	2	1
62	3	9887	4	3
63	1	10347	7	7
64	1	10347	7	7
65	1	9565	1	1
66	5	9265	3	4
67	2	9245	7	2
68	5	9426	4	5
69	4	9976	4	1
70	3	9827	6	1
71	3	9246	5	2
72	4	10187	3	1
73	5	10567	4	1
74	1	10347	7	7
75	3	9688	3	1
76	5	9386	1	1
77	2	10064	2	2
78	1	9887	4	3
79	1	9245	7	2
80	4	9978	1	2
81	4	9976	4	1
82	3	8985	2	1
83	1	9887	4	3
84	5	9912	4	1
85	1	9689	4	1
86	1	9245	7	2
87	1	10013	2	1
88	1	10347	7	7
89	5	10039	2	2
90	3	9206	4	1
91	5	9246	5	2
92	2	9689	4	1
93	1	8985	2	1
94	1	10367	1	1
95	2	10039	2	2
96	2	9206	4	1
97	1	9246	5	2
98	4	10472	2	4
99	2	9347	1	3
100	4	10472	2	4
101	2	9545	1	1
102	4	9246	5	2
103	3	9426	4	5
104	1	9667	2	2
105	1	10347	7	7
106	5	9325	1	1
107	1	9627	1	1
108	4	10107	3	4
109	5	9505	1	1
110	1	10007	1	1
111	2	9105	5	1
112	4	9105	5	1
113	4	10388	1	1
114	3	10002	1	1
115	4	10567	4	1
116	4	9982	2	2
117	4	9647	1	1
118	4	10427	1	2
119	2	10567	4	1
120	4	9205	4	1
121	2	9616	1	1
122	2	9206	4	1
123	5	9976	4	1
124	3	9623	1	1
125	2	9912	4	1
126	2	8885	1	1
127	5	9611	1	1
128	2	9245	7	2
129	1	9912	4	1
130	1	9206	4	1
131	1	10045	1	2
132	2	9968	3	1
133	5	10187	3	1
134	3	10248	1	1
135	3	9827	6	1
136	2	9827	6	1
137	3	9789	1	1
138	4	9887	4	3
139	1	9976	4	1
140	2	9787	3	2
141	5	9912	4	1
142	3	9827	6	1
143	5	10017	2	1
144	3	10567	4	1
145	1	10048	1	1
146	3	9245	7	2
147	2	9688	3	1
148	4	9426	4	5
149	2	9689	4	1
150	1	10347	7	7
151	2	9389	1	1
152	4	9827	6	1
153	5	10507	1	1
154	1	10787	1	1
155	1	10687	2	2
156	2	10107	3	4
157	3	10187	3	1
Summary details:
#violations= 51
fitness= 53790
41 students got their choice 1 project
33 students got their choice 2 project
28 students got their choice 3 project
30 students got their choice 4 project
25 students got their choice 5 project
1 Fitness= 44710 Best= 47850
10001 Fitness= 42930 Best= 31870
20001 Fitness= 44180 Best= 31870
30001 Fitness= 46480 Best= 31870
40001 Fitness= 49950 Best= 31790
50001 Fitness= 44620 Best= 31790
60001 Fitness= 41920 Best= 30890
70001 Fitness= 49990 Best= 30890
80001 Fitness= 46240 Best= 30890
90001 Fitness= 48960 Best= 30890
100000 Fitness= 47850 Best= 30890


=== RESULTS (last random solution) ===

Over-allocated projects (violations) :
PRJ_ID	N_ALLOC	MAX
9205	2	1
8885	2	1
9689	3	1
10030	3	2
9405	2	1
9968	3	1
9245	7	2
9246	5	2
9249	2	1
9976	4	1
9426	6	5
9982	3	2
10248	2	1
9991	2	1
9993	2	1
9613	2	1
9446	2	1
8825	4	1
9627	2	1
10527	2	1
9545	2	1
9827	6	1
9105	2	1
9667	7	2
10567	2	1
Complete List of Project Allocations Made:
STUDENT	CHOICE	PRJ_ID	N_ALLOC	MAX
1	2	10471	1	1
2	5	9968	3	1
3	1	10767	1	1
4	1	9166	1	2
5	2	10327	1	4
6	4	10042	1	1
7	1	10587	1	1
8	5	9105	2	1
9	3	9982	3	2
10	2	9347	1	3
11	3	10207	1	1
12	3	10058	1	2
13	5	9991	2	1
14	4	9265	2	4
15	4	10187	1	1
16	1	9246	5	2
17	5	9205	2	1
18	2	10328	1	1
19	3	9689	3	1
20	5	9996	1	1
21	1	10667	1	1
22	2	8826	1	1
23	2	9667	7	2
24	4	9405	2	1
25	4	10030	3	2
26	2	9245	7	2
27	2	9426	6	5
28	2	10017	1	1
29	1	10347	7	7
30	2	9689	3	1
31	2	9992	1	1
32	5	9993	2	1
33	1	10001	2	3
34	2	9982	3	2
35	5	9667	7	2
36	3	9647	1	1
37	5	9968	3	1
38	1	9245	7	2
39	3	9624	2	2
40	3	9245	7	2
41	2	10030	3	2
42	4	9993	2	1
43	1	10807	1	1
44	2	9827	6	1
45	4	10470	1	2
46	4	10527	2	1
47	2	9225	1	2
48	3	9991	2	1
49	5	9206	1	1
50	5	9667	7	2
51	2	9545	2	1
52	1	10567	2	1
53	2	9105	2	1
54	4	9667	7	2
55	4	9265	2	4
56	5	8646	1	1
57	1	10259	1	2
58	1	10268	1	2
59	2	9249	2	1
60	4	9205	2	1
61	2	9249	2	1
62	4	9007	3	3
63	1	10347	7	7
64	1	10347	7	7
65	5	9827	6	1
66	2	9728	1	2
67	5	9827	6	1
68	4	10472	2	4
69	3	9245	7	2
70	2	9667	7	2
71	2	9827	6	1
72	5	10472	2	4
73	2	9976	4	1
74	1	10347	7	7
75	1	10046	1	4
76	5	9386	1	1
77	4	9999	1	4
78	3	8825	4	1
79	2	9827	6	1
80	4	9978	1	2
81	2	9565	1	1
82	4	9245	7	2
83	4	8885	2	1
84	4	8885	2	1
85	3	10127	1	4
86	3	9246	5	2
87	4	10331	1	1
88	1	10347	7	7
89	3	10547	1	1
90	5	9426	6	5
91	1	9982	3	2
92	5	9405	2	1
93	3	10032	1	1
94	1	10367	1	1
95	1	8825	4	1
96	3	9007	3	3
97	1	9246	5	2
98	1	8825	4	1
99	1	10627	1	1
100	3	10467	1	1
101	2	9545	2	1
102	3	9667	7	2
103	2	10507	1	1
104	3	9989	1	1
105	1	10347	7	7
106	3	10002	1	1
107	3	10261	1	1
108	2	10001	2	3
109	5	9505	1	1
110	5	9485	2	2
111	1	10170	1	1
112	2	9446	2	1
113	4	10388	1	1
114	4	9306	1	1
115	5	9967	1	1
116	1	9245	7	2
117	2	9007	3	3
118	3	9207	1	1
119	4	9827	6	1
120	5	9613	2	1
121	3	10009	1	1
122	5	9667	7	2
123	4	9245	7	2
124	1	9927	1	1
125	3	9446	2	1
126	5	10030	3	2
127	3	9426	6	5
128	4	10567	2	1
129	5	8825	4	1
130	4	10050	1	2
131	1	10045	1	2
132	2	9968	3	1
133	1	10249	1	1
134	3	10248	2	1
135	5	10527	2	1
136	4	9976	4	1
137	5	10248	2	1
138	2	9426	6	5
139	1	9976	4	1
140	4	9624	2	2
141	1	9426	6	5
142	1	9246	5	2
143	1	9689	3	1
144	4	9485	2	2
145	5	9387	1	1
146	1	9976	4	1
147	5	10062	1	1
148	1	9613	2	1
149	3	10015	1	1
150	1	10347	7	7
151	1	9465	1	1
152	1	9246	5	2
153	3	9627	2	1
154	1	10787	1	1
155	1	10687	1	2
156	1	9426	6	5
157	4	9627	2	1
Summary details:
#violations= 45
fitness= 47850
41 students got their choice 1 project
32 students got their choice 2 project
27 students got their choice 3 project
29 students got their choice 4 project
28 students got their choice 5 project
1 Fitness= 46860 Best= 42980
10001 Fitness= 45700 Best= 33020
20001 Fitness= 46920 Best= 31970
30001 Fitness= 47050 Best= 30830
40001 Fitness= 41870 Best= 29790
50001 Fitness= 46480 Best= 29790
60001 Fitness= 43630 Best= 29790
70001 Fitness= 50900 Best= 29790
80001 Fitness= 50730 Best= 29790
90001 Fitness= 45050 Best= 29790
100000 Fitness= 40890 Best= 29790


=== RESULTS (last random solution) ===

Over-allocated projects (violations) :
PRJ_ID	N_ALLOC	MAX
10017	2	1
9205	3	1
9206	3	1
9688	2	1
10048	2	1
9245	7	2
9976	4	1
9982	4	2
10248	3	1
9616	2	1
9627	2	1
10527	4	1
9827	10	1
9911	2	1
9105	2	1
10002	2	1
10009	2	1
10567	2	1
Complete List of Project Allocations Made:
STUDENT	CHOICE	PRJ_ID	N_ALLOC	MAX
1	2	10471	1	1
2	4	9105	2	1
3	1	10767	1	1
4	5	10046	1	4
5	2	10327	2	4
6	1	10000	1	1
7	3	9989	1	1
8	2	9911	2	1
9	3	9982	4	2
10	5	9996	1	1
11	3	10207	1	1
12	4	9992	1	1
13	4	9911	2	1
14	2	9689	1	1
15	1	10253	1	1
16	4	9624	2	2
17	1	10022	1	2
18	3	8825	1	1
19	1	9999	4	4
20	4	9248	1	1
21	1	10667	1	1
22	2	8826	1	1
23	3	10527	4	1
24	5	10248	3	1
25	2	9265	3	4
26	4	9982	4	2
27	4	10088	1	4
28	2	10017	2	1
29	1	10347	7	7
30	4	10248	3	1
31	5	9205	3	1
32	4	9426	4	5
33	3	10007	1	1
34	2	9982	4	2
35	3	9688	2	1
36	4	10025	1	1
37	3	9245	7	2
38	1	9245	7	2
39	4	10048	2	1
40	1	9246	1	2
41	5	9787	2	2
42	3	9999	4	4
43	1	10807	1	1
44	4	9405	1	1
45	4	10470	1	2
46	5	9787	2	2
47	2	9225	1	2
48	4	10023	1	2
49	3	9619	1	1
50	3	10567	2	1
51	2	9545	1	1
52	5	9489	1	2
53	5	10027	1	1
54	5	9827	10	1
55	4	9265	3	4
56	1	10127	2	4
57	3	9206	3	1
58	3	10527	4	1
59	3	10011	1	1
60	5	9209	1	1
61	2	9249	1	1
62	2	10327	2	4
63	1	10347	7	7
64	1	10347	7	7
65	4	9624	2	2
66	1	10687	1	2
67	2	9245	7	2
68	1	9827	10	1
69	1	9827	10	1
70	2	9667	2	2
71	1	9976	4	1
72	1	10030	2	2
73	4	9245	7	2
74	1	10347	7	7
75	4	9999	4	4
76	3	10055	1	2
77	5	10012	1	1
78	5	9967	1	1
79	1	9245	7	2
80	2	10009	2	1
81	3	9245	7	2
82	3	8985	1	1
83	1	9887	1	3
84	2	10332	1	1
85	3	10127	2	4
86	5	10527	4	1
87	3	10328	1	1
88	1	10347	7	7
89	3	10547	1	1
90	5	9426	4	5
91	1	9982	4	2
92	4	9827	10	1
93	2	9627	2	1
94	1	10367	1	1
95	2	10039	1	2
96	5	10050	1	2
97	4	9976	4	1
98	4	10472	2	4
99	1	10627	1	1
100	4	10472	2	4
101	5	9976	4	1
102	2	9565	1	1
103	4	9616	2	1
104	4	9265	3	4
105	1	10347	7	7
106	3	10002	2	1
107	1	9627	2	1
108	1	10747	1	1
109	3	9206	3	1
110	2	10009	2	1
111	2	9105	2	1
112	5	9025	1	1
113	4	10388	1	1
114	3	10002	2	1
115	2	9426	4	5
116	2	9827	10	1
117	2	9007	1	3
118	4	10427	1	2
119	2	10567	2	1
120	4	9205	3	1
121	4	10013	1	1
122	2	9206	3	1
123	3	9827	10	1
124	5	10170	1	1
125	5	10030	2	2
126	4	9205	3	1
127	5	9611	1	1
128	3	9827	10	1
129	3	9426	4	5
130	5	9986	1	1
131	2	10262	1	1
132	2	9968	1	1
133	1	10249	1	1
134	1	10508	2	2
135	5	10527	4	1
136	2	9827	10	1
137	3	9789	1	1
138	1	9912	1	1
139	2	9245	7	2
140	1	9999	4	4
141	2	10248	3	1
142	4	9976	4	1
143	5	10017	2	1
